,name,P@5,P@10,nDCG@10,nDCG,RR(rel=2),map
0,TF_IDF,0.184,0.26199999999999996,0.2080801941722131,0.36698540151368564,0.22503401785898622,0.16671436950227267
1,BM25,0.16399999999999998,0.234,0.1843279607537991,0.3615597766248162,0.22356197644619166,0.15898006951054428
2,InL2,0.17200000000000004,0.21000000000000005,0.16828942866499677,0.3625210007987707,0.20621556361390625,0.16119181664244706
3,bm25 >> bo1 >> bm25,0.168,0.19799999999999998,0.1713594717627158,0.36070193004862416,0.22435132238920347,0.15774965150728074
