,name,P@5,P@10,nDCG@10,nDCG,RR(rel=2),map
0,TF_IDF,0.428,0.406,0.35405748326706893,0.3277984355207236,0.4297755302933141,0.12565330673163394
1,BM25,0.39199999999999996,0.39399999999999996,0.3421896491719878,0.32259783968284367,0.40589831460768094,0.12189515067722498
2,InL2,0.408,0.40199999999999997,0.3482496325498541,0.32219469812749757,0.4220207434065895,0.12147703169820699
3,bm25 >> bo1 >> bm25,0.3880000000000001,0.384,0.3341325628197942,0.33463505321375925,0.36789964490199545,0.13668581739194008
