,name,P@5,P@10,nDCG@10,nDCG,RR(rel=2),map
0,TF_IDF,0.6200000000000001,0.6000000000000001,0.5450400327380364,0.374595492403371,0.6379704915934807,0.17252912448161364
1,BM25,0.6320000000000001,0.5860000000000001,0.5323332272325597,0.3747707097955435,0.6155579411456273,0.17313504648368405
2,InL2,0.6000000000000001,0.5500000000000003,0.502901824623883,0.3728368964826093,0.6068388412945596,0.17082218163174917
3,bm25 >> bo1 >> bm25,0.6600000000000001,0.5980000000000001,0.5508479184428213,0.3910762536607531,0.6235567097839848,0.1881263644238206
