,name,P@5,P@10,nDCG@10,nDCG,RR(rel=2),map
0,TF_IDF,0.4720000000000001,0.48400000000000004,0.38066416232606365,0.36499635803209757,0.38007063630212296,0.17468480681261261
1,BM25,0.4200000000000001,0.43000000000000005,0.3429292894451463,0.36020141164432723,0.3564971258284462,0.16991803553052084
2,InL2,0.4480000000000001,0.4440000000000001,0.3481487242735762,0.3620492331815138,0.3734645592006553,0.17082029926890502
3,bm25 >> bo1 >> bm25,0.45199999999999996,0.478,0.39562264664762714,0.38644694426119786,0.4547760963011334,0.1904254374432306
